model_name,sheet_number,sheet_name,current_revision,revision_date,revision_description
TB_Hinkler_Av,A10221,GA PLAN - B LEVEL 01,H,08.05.26,FOR INFORMATION
TB_Hinkler_Av,A10222,GA PLAN - B LEVEL 02,E,05.05.26,FOR INFORMATION
TB_Hinkler_Av,A10223,GA PLAN - B LEVEL 03-04,E,05.05.26,FOR INFORMATION
TB_Hinkler_Av,A10225,GA PLAN - B LEVEL 05,E,05.05.26,FOR INFORMATION
TB_Hinkler_Av,A10226,GA PLAN - B LEVEL 06,E,05.05.26,FOR INFORMATION
TB_Hinkler_Av,A10227,GA PLAN - B LEVEL 07,E,05.05.26,FOR INFORMATION
TB_Hinkler_Av,A10228,GA PLAN - B LEVEL 08,E,05.05.26,FOR INFORMATION
TB_Hinkler_Av,A10229,GA PLAN - B LEVEL 09,E,05.05.26,FOR INFORMATION
TB_Hinkler_Av,A11221,WALL SETOUT PLAN - B LEVEL 01,,,
TB_Hinkler_Av,A11222,WALL SETOUT PLAN - B LEVEL 02,,,
TB_Hinkler_Av,A11223,WALL SETOUT PLAN - B LEVEL 03-04,,,
TB_Hinkler_Av,A11225,WALL SETOUT PLAN - B LEVEL 05,,,
TB_Hinkler_Av,A11226,WALL SETOUT PLAN - B LEVEL 06,,,
TB_Hinkler_Av,A11227,WALL SETOUT PLAN - B LEVEL 07,,,
TB_Hinkler_Av,A11228,WALL SETOUT PLAN - B LEVEL 08,,,
TB_Hinkler_Av,A11229,WALL SETOUT PLAN - B ROOF,,,
TB_Hinkler_Av,A13221,CONC SETOUT PLAN - B LEVEL 01,,,
TB_Hinkler_Av,A13222,CONC SETOUT PLAN - B LEVEL 02,,,
TB_Hinkler_Av,A13223,CONC SETOUT PLAN - B LEVEL 03-04,,,
TB_Hinkler_Av,A13225,CONC SETOUT PLAN - B LEVEL 05,,,
TB_Hinkler_Av,A13226,CONC SETOUT PLAN - B LEVEL 06,,,
TB_Hinkler_Av,A13227,CONC SETOUT PLAN - B LEVEL 07,,,
TB_Hinkler_Av,A13228,CONC SETOUT PLAN - B LEVEL 08,,,
TB_Hinkler_Av,A13229,CONC SETOUT PLAN - B LEVEL 09,,,
TB_Hinkler_Av,A16221,RCP - B - LEVEL 01,A,10.04.26,FOR INFORMATION
TB_Hinkler_Av,A16222,RCP - B - LEVEL 02,A,10.04.26,FOR INFORMATION
TB_Hinkler_Av,A16223,RCP - B - LEVEL 03-04,A,10.04.26,FOR INFORMATION
TB_Hinkler_Av,A16225,RCP - B - LEVEL 05,A,10.04.26,FOR INFORMATION
TB_Hinkler_Av,A16226,RCP - B - LEVEL 06,A,10.04.26,FOR INFORMATION
TB_Hinkler_Av,A16227,RCP - B - LEVEL 07,A,10.04.26,FOR INFORMATION
TB_Hinkler_Av,A16228,RCP - B - LEVEL 08-09,A,10.04.26,FOR INFORMATION
TB_Hinkler_Av,A16230,RCP - B - LEVEL 10,A,10.04.26,FOR INFORMATION
TB_Hinkler_Av,A20201,ELEVATIONS - B SHEET 01,,,
TB_Hinkler_Av,A20202,ELEVATIONS - B SHEET 02,,,
TB_Hinkler_Av,A20203,ELEVATIONS - B SHEET 03,,,
TB_Hinkler_Av,A20204,ELEVATIONS - B SHEET 04,,,
TB_Hinkler_Av,A20205,ELEVATIONS - B SHEET 05,,,
TB_Hinkler_Av,A30201,SECTIONS - B SHEET 01,,,
TB_Hinkler_Av,A30202,SECTIONS - B SHEET 02,,,
TB_Hinkler_Av,A85201,WINDOW SCHEDULE - B SHEET 01,,,
TB_Hinkler_Av,A85202,WINDOW SCHEDULE - B SHEET 02,,,
TB_Hinkler_Av,A85203,WINDOW SCHEDULE - B SHEET 03,,,
TB_Hinkler_Av,A85204,WINDOW SCHEDULE - B SHEET 04,,,
TB_Hinkler_Av,A85205,WINDOW SCHEDULE - B SHEET 05,,,
TB_Hinkler_Av,A55201,CORE - FS- B03 & FS-B06 SHEET 01,A,20.04.26,FOR INFORMATION
TB_Hinkler_Av,A55202,CORE - FS- B03 & FS-B06 SHEET 02,A,20.04.26,FOR INFORMATION
TB_Hinkler_Av,A55204,CORE - FS- B02 & FS-B05 SHEET 01,A,20.04.26,FOR INFORMATION
TB_Hinkler_Av,A55205,CORE - FS- B02 & FS-B05 SHEET 02,A,20.04.26,FOR INFORMATION
TB_Hinkler_Av,A55206,CORE - FS- B02 & FS-B05 SHEET 03,A,20.04.26,FOR INFORMATION
TB_Hinkler_Av,A55207,CORE - FS- B01 & FS-B04 SHEET 01,A,20.04.26,FOR INFORMATION
TB_Hinkler_Av,A55208,CORE - FS- B01 & FS-B04 SHEET 02,A,20.04.26,FOR INFORMATION
TB_Hinkler_Av,A55209,CORE - FS- B01 & FS-B04 SHEET 03,A,20.04.26,FOR INFORMATION
TB_Hinkler_Av,A50201,ADAPTABLE UNIT - B SHEET 01,,,
TB_Hinkler_Av,A50202,ADAPTABLE UNIT - B SHEET 02,,,
TB_Hinkler_Av,A50203,ADAPTABLE UNIT - B SHEET 03,,,
TB_Hinkler_Av,A50204,ADAPTABLE UNIT - B SHEET 04,,,
TB_Hinkler_Av,A50205,ADAPTABLE UNIT - B SHEET 05,,,
TB_Hinkler_Av,A50206,ADAPTABLE UNIT - B SHEET 06,,,
TB_Hinkler_Av,A45201,METALWORK - B SHEET 01,,,
TB_Hinkler_Av,A17201,INSULATION - B - LEVEL 01,,,
TB_Hinkler_Av,A17202,INSULATION - B - LEVEL 02,,,
TB_Hinkler_Av,A17203,INSULATION - B - LEVEL 03-04,,,
TB_Hinkler_Av,A17205,INSULATION - B - LEVEL 05,,,
TB_Hinkler_Av,A17206,INSULATION - B - LEVEL 06,,,
TB_Hinkler_Av,A17207,INSULATION - B - LEVEL 07,,,
TB_Hinkler_Av,A17208,INSULATION - B - LEVEL 08,,,
TB_Hinkler_Av,A17209,INSULATION - B - LEVEL 09,,,
TB_Hinkler_Av,A30203,SECTIONS - B SHEET 03,,,
TB_Hinkler_Av,A30204,SECTIONS - B SHEET 04,,,
TB_Hinkler_Av,A04005,VIEW REFERENCE - 05,,,
TB_Hinkler_Av,A04002,VIEW REFERENCE - 02,,,
TB_Hinkler_Av,A04006,VIEW REFERENCE - 06,,,
TB_Hinkler_Av,A04007,VIEW REFERENCE - 07,,,
TB_Hinkler_Av,A04008,VIEW REFERENCE - 08,,,
TB_Hinkler_Av,A04004,VIEW REFERENCE - 04,,,
TB_Hinkler_Av,A15221,FRL PLAN - B LEVEL 01,,,
TB_Hinkler_Av,A05701,SUBSTATION KIOSK VIEW REFERENCE,,,
TB_Hinkler_Av,A10230,GA PLAN - B LEVEL 10,D,05.05.26,FOR INFORMATION
TB_Hinkler_Av,A10231,GA PLAN - B LEVEL 11-17,D,05.05.26,FOR INFORMATION
TB_Hinkler_Av,001,ELEVATIONS - B SHEET 01,,,
TB_Hinkler_Av,002,ELEVATIONS - B SHEET 02,,,
TB_Hinkler_Av,003,ELEVATIONS - B SHEET 03,,,
TB_Hinkler_Av,004,ELEVATIONS - B SHEET 04,,,
TB_Hinkler_Av,SK 01,PBDB,,,
TB_Hinkler_Av,SK 02,PBDB,,,
TB_Hinkler_Av,A55203,CORE - FS- B03 & FS-B06 SHEET 03,A,20.04.26,FOR INFORMATION
TB_Hinkler_Av,A16231,RCP - B - LEVEL 11-17,A,10.04.26,FOR INFORMATION
TB_Hinkler_Av,A13230,CONC SETOUT PLAN - B LEVEL 10,,,
TB_Hinkler_Av,A13231,CONC SETOUT PLAN - B LEVEL 11-17,,,
TB_Hinkler_Av,A13232,CONC SETOUT PLAN - B A ROOF,,,
TB_Hinkler_Av,A10232,GA PLAN - B ROOF,D,05.05.26,FOR INFORMATION
